5 Minutes,Flow (Veh/5 Minutes),# Lane Points,% Observed
2022/01/06 10:05,466,4,0.00
2022/01/06 10:10,464,4,0.00
2022/01/06 10:15,471,4,0.00
2022/01/06 10:20,480,4,0.00
2022/01/06 10:25,494,4,0.00
2022/01/06 10:30,476,4,0.00
2022/01/06 10:35,470,4,0.00
2022/01/06 10:40,485,4,0.00
2022/01/06 10:45,476,4,0.00
2022/01/06 10:50,470,4,0.00
2022/01/06 10:55,468,4,0.00
2022/01/06 11:00,511,4,0.00
2022/01/06 11:05,467,4,0.00
2022/01/06 11:10,480,4,0.00
2022/01/06 11:15,507,4,0.00
2022/01/06 11:20,476,4,0.00
2022/01/06 11:25,508,4,0.00
2022/01/06 11:30,495,4,0.00
2022/01/06 11:35,488,4,0.00
2022/01/06 11:40,494,4,0.00
2022/01/06 11:45,505,4,0.00
2022/01/06 11:50,483,4,0.00
2022/01/06 11:55,504,4,0.00
2022/01/06 12:00,495,4,0.00
2022/01/06 12:05,509,4,0.00
2022/01/06 12:10,523,4,0.00
2022/01/06 12:15,527,4,0.00
2022/01/06 12:20,529,4,0.00
2022/01/06 12:25,498,4,0.00
2022/01/06 12:30,498,4,0.00
2022/01/06 12:35,519,4,0.00
2022/01/06 12:40,533,4,0.00
2022/01/06 12:45,556,4,0.00
2022/01/06 12:50,531,4,0.00
2022/01/06 12:55,531,4,0.00
2022/01/06 13:00,546,4,0.00
2022/01/06 13:05,559,4,0.00
2022/01/06 13:10,530,4,0.00
2022/01/06 13:15,530,4,0.00
2022/01/06 13:20,532,4,0.00
2022/01/06 13:25,536,4,0.00
2022/01/06 13:30,543,4,0.00
2022/01/06 13:35,528,4,0.00
2022/01/06 13:40,541,4,0.00
2022/01/06 13:45,562,4,0.00
2022/01/06 13:50,508,4,0.00
2022/01/06 13:55,496,4,0.00
2022/01/06 14:00,490,4,0.00
2022/01/06 14:05,527,4,0.00
2022/01/06 14:10,500,4,0.00
2022/01/06 14:15,518,4,0.00
2022/01/06 14:20,538,4,0.00
2022/01/06 14:25,529,4,0.00
2022/01/06 14:30,489,4,0.00
2022/01/06 14:35,538,4,0.00
2022/01/06 14:40,530,4,0.00
2022/01/06 14:45,539,4,0.00
2022/01/06 14:50,540,4,0.00
2022/01/06 14:55,542,4,0.00
2022/01/06 15:00,501,4,0.00
2022/01/06 15:05,490,4,0.00
2022/01/06 15:10,480,4,0.00
2022/01/06 15:15,487,4,0.00
2022/01/06 15:20,501,4,0.00
2022/01/06 15:25,522,4,0.00
2022/01/06 15:30,523,4,0.00
2022/01/06 15:35,550,4,0.00
2022/01/06 15:40,527,4,0.00
2022/01/06 15:45,517,4,0.00
2022/01/06 15:50,524,4,0.00
2022/01/06 15:55,549,4,0.00
2022/01/06 16:00,520,4,0.00
2022/01/06 16:05,554,4,0.00
2022/01/06 16:10,543,4,0.00
2022/01/06 16:15,510,4,0.00
2022/01/06 16:20,524,4,0.00
2022/01/06 16:25,500,4,0.00
2022/01/06 16:30,495,4,0.00
2022/01/06 16:35,544,4,0.00
2022/01/06 16:40,522,4,0.00
2022/01/06 16:45,518,4,0.00
2022/01/06 16:50,497,4,0.00
2022/01/06 16:55,517,4,0.00
2022/01/06 17:00,527,4,0.00
2022/01/06 17:05,517,4,0.00
2022/01/06 17:10,502,4,0.00
2022/01/06 17:15,484,4,0.00
2022/01/06 17:20,525,4,0.00
2022/01/06 17:25,485,4,0.00
2022/01/06 17:30,526,4,0.00
2022/01/06 17:35,527,4,0.00
2022/01/06 17:40,535,4,0.00
2022/01/06 17:45,528,4,0.00
2022/01/06 17:50,533,4,0.00
2022/01/06 17:55,507,4,0.00
2022/01/06 18:00,535,4,0.00
2022/01/06 18:05,513,4,0.00
2022/01/06 18:10,535,4,0.00
2022/01/06 18:15,536,4,0.00
2022/01/06 18:20,420,4,0.00
2022/01/06 18:25,511,4,0.00
2022/01/06 18:30,511,4,0.00
2022/01/06 18:35,536,4,0.00
2022/01/06 18:40,542,4,0.00
2022/01/06 18:45,522,4,0.00
2022/01/06 18:50,500,4,0.00
2022/01/06 18:55,452,4,0.00
2022/01/06 19:00,502,4,0.00
2022/01/06 19:05,556,4,0.00
2022/01/06 19:10,519,4,0.00
2022/01/06 19:15,535,4,0.00
2022/01/06 19:20,530,4,0.00
2022/01/06 19:25,548,4,0.00
2022/01/06 19:30,500,4,0.00
2022/01/06 19:35,483,4,0.00
2022/01/06 19:40,491,4,0.00
2022/01/06 19:45,491,4,0.00
2022/01/06 19:50,452,4,0.00
2022/01/06 19:55,467,4,0.00
2022/01/06 20:00,395,4,0.00
2022/01/06 20:05,437,4,0.00
2022/01/06 20:10,430,4,0.00
2022/01/06 20:15,429,4,0.00
2022/01/06 20:20,447,4,0.00
2022/01/06 20:25,471,4,0.00
2022/01/06 20:30,417,4,0.00
2022/01/06 20:35,455,4,0.00
2022/01/06 20:40,407,4,0.00
2022/01/06 20:45,451,4,0.00
2022/01/06 20:50,413,4,0.00
2022/01/06 20:55,407,4,0.00
2022/01/06 21:00,407,4,0.00
2022/01/06 21:05,394,4,0.00
2022/01/06 21:10,402,4,0.00
2022/01/06 21:15,389,4,0.00
2022/01/06 21:20,409,4,0.00
2022/01/06 21:25,388,4,0.00
2022/01/06 21:30,341,4,0.00
2022/01/06 21:35,375,4,0.00
2022/01/06 21:40,365,4,0.00
2022/01/06 21:45,332,4,0.00
2022/01/06 21:50,347,4,0.00
2022/01/06 21:55,336,4,0.00
2022/01/06 22:00,316,4,0.00
2022/01/06 22:05,333,4,0.00
2022/01/06 22:10,330,4,0.00
2022/01/06 22:15,327,4,0.00
2022/01/06 22:20,320,4,0.00
2022/01/06 22:25,310,4,0.00
2022/01/06 22:30,308,4,0.00
2022/01/06 22:35,285,4,0.00
2022/01/06 22:40,294,4,0.00
2022/01/06 22:45,280,4,0.00
2022/01/06 22:50,244,4,0.00
2022/01/06 22:55,238,4,0.00
2022/01/06 23:00,237,4,0.00
2022/01/06 23:05,232,4,0.00
2022/01/06 23:10,242,4,0.00
2022/01/06 23:15,243,4,0.00
2022/01/06 23:20,224,4,0.00
2022/01/06 23:25,214,4,0.00
2022/01/06 23:30,220,4,0.00
2022/01/06 23:35,207,4,0.00
2022/01/06 23:40,208,4,0.00
2022/01/06 23:45,190,4,0.00
2022/01/06 23:50,180,4,0.00
2022/01/06 23:55,156,4,0.00
2022/02/06 00:00,240,4,100.00
2022/02/06 00:05,240,4,100.00
2022/02/06 00:10,240,4,100.00
2022/02/06 00:15,240,4,100.00
2022/02/06 00:20,240,4,100.00
2022/02/06 00:25,240,4,100.00
2022/02/06 00:30,240,4,100.00
2022/02/06 00:35,240,4,100.00
2022/02/06 00:40,240,4,100.00
2022/02/06 00:45,240,4,100.00
2022/02/06 00:50,240,4,100.00
2022/02/06 00:55,240,4,100.00
2022/02/06 01:00,114,4,100.00
2022/02/06 01:05,78,4,100.00
2022/02/06 01:10,80,4,100.00
2022/02/06 01:15,80,4,100.00
2022/02/06 01:20,80,4,100.00
2022/02/06 01:25,80,4,100.00
2022/02/06 01:30,80,4,100.00
2022/02/06 01:35,80,4,100.00
2022/02/06 01:40,80,4,100.00
2022/02/06 01:45,80,4,100.00
2022/02/06 01:50,80,4,100.00
2022/02/06 01:55,80,4,100.00
2022/02/06 02:00,80,4,100.00
2022/02/06 02:05,80,4,100.00
2022/02/06 02:10,80,4,100.00
2022/02/06 02:15,80,4,100.00
2022/02/06 02:20,80,4,100.00
2022/02/06 02:25,80,4,100.00
2022/02/06 02:30,80,4,100.00
2022/02/06 02:35,80,4,100.00
2022/02/06 02:40,80,4,100.00
2022/02/06 02:45,80,4,100.00
2022/02/06 02:50,80,4,100.00
2022/02/06 02:55,80,4,100.00
2022/02/06 03:00,80,4,100.00
2022/02/06 03:05,80,4,100.00
2022/02/06 03:10,80,4,100.00
2022/02/06 03:15,80,4,100.00
2022/02/06 03:20,80,4,100.00
2022/02/06 03:25,80,4,100.00
2022/02/06 03:30,80,4,100.00
2022/02/06 03:35,80,4,100.00
2022/02/06 03:40,80,4,100.00
2022/02/06 03:45,80,4,100.00
2022/02/06 03:50,80,4,100.00
2022/02/06 03:55,80,4,100.00
2022/02/06 04:00,80,4,100.00
2022/02/06 04:05,80,4,100.00
2022/02/06 04:10,80,4,100.00
2022/02/06 04:15,80,4,100.00
2022/02/06 04:20,80,4,100.00
2022/02/06 04:25,80,4,100.00
2022/02/06 04:30,80,4,100.00
2022/02/06 04:35,80,4,100.00
2022/02/06 04:40,80,4,100.00
2022/02/06 04:45,80,4,100.00
2022/02/06 04:50,80,4,100.00
2022/02/06 04:55,80,4,100.00
2022/02/06 05:00,80,4,100.00
2022/02/06 05:05,80,4,100.00
2022/02/06 05:10,80,4,100.00
2022/02/06 05:15,80,4,100.00
2022/02/06 05:20,80,4,100.00
2022/02/06 05:25,80,4,100.00
2022/02/06 05:30,80,4,100.00
2022/02/06 05:35,80,4,100.00
2022/02/06 05:40,80,4,100.00
2022/02/06 05:45,80,4,100.00
2022/02/06 05:50,80,4,100.00
2022/02/06 05:55,80,4,100.00
2022/02/06 06:00,80,4,100.00
2022/02/06 06:05,80,4,100.00
2022/02/06 06:10,80,4,100.00
2022/02/06 06:15,80,4,100.00
2022/02/06 06:20,80,4,100.00
2022/02/06 06:25,399,4,0.00
2022/02/06 06:30,428,4,0.00
2022/02/06 06:35,383,4,0.00
2022/02/06 06:40,80,4,100.00
2022/02/06 06:45,428,4,0.00
2022/02/06 06:50,385,4,0.00
2022/02/06 06:55,436,4,0.00
2022/02/06 07:00,426,4,0.00
2022/02/06 07:05,462,4,0.00
2022/02/06 07:10,446,4,0.00
2022/02/06 07:15,507,4,0.00
2022/02/06 07:20,535,4,0.00
2022/02/06 07:25,573,4,0.00
2022/02/06 07:30,528,4,0.00
2022/02/06 07:35,533,4,0.00
2022/02/06 07:40,562,4,0.00
2022/02/06 07:45,592,4,0.00
2022/02/06 07:50,577,4,0.00
2022/02/06 07:55,545,4,0.00
2022/02/06 08:00,550,4,0.00
2022/02/06 08:05,540,4,0.00
2022/02/06 08:10,516,4,0.00
2022/02/06 08:15,544,4,0.00
2022/02/06 08:20,507,4,100.00
2022/02/06 08:25,441,4,100.00
2022/02/06 08:30,482,4,100.00
2022/02/06 08:35,500,4,100.00
2022/02/06 08:40,523,4,100.00
2022/02/06 08:45,494,4,100.00
2022/02/06 08:50,511,4,100.00
2022/02/06 08:55,521,4,100.00
2022/02/06 09:00,470,4,100.00
2022/02/06 09:05,469,4,100.00
2022/02/06 09:10,460,4,100.00
2022/02/06 09:15,429,4,100.00
2022/02/06 09:20,545,4,100.00
2022/02/06 09:25,361,4,100.00
2022/02/06 09:30,452,4,100.00
2022/02/06 09:35,470,4,100.00
2022/02/06 09:40,342,4,100.00
2022/02/06 09:45,356,4,100.00
2022/02/06 09:50,378,4,100.00
2022/02/06 09:55,397,4,100.00
2022/02/06 10:00,460,4,100.00
2022/02/06 10:05,430,4,100.00
2022/02/06 10:10,410,4,100.00
2022/02/06 10:15,476,4,100.00
2022/02/06 10:20,527,4,100.00
2022/02/06 10:25,500,4,100.00
2022/02/06 10:30,547,4,100.00
2022/02/06 10:35,640,4,100.00
2022/02/06 10:40,470,4,100.00
2022/02/06 10:45,420,4,100.00
2022/02/06 10:50,420,4,100.00
2022/02/06 10:55,501,4,100.00
2022/02/06 11:00,540,4,100.00
2022/02/06 11:05,460,4,100.00
2022/02/06 11:10,496,4,100.00
2022/02/06 11:15,570,4,100.00
2022/02/06 11:20,543,4,100.00
2022/02/06 11:25,510,4,100.00
2022/02/06 11:30,410,4,100.00
2022/02/06 11:35,410,4,100.00
2022/02/06 11:40,480,4,100.00
2022/02/06 11:45,482,4,100.00
2022/02/06 11:50,340,4,100.00
2022/02/06 11:55,371,4,100.00
2022/02/06 12:00,480,4,100.00
2022/02/06 12:05,484,4,100.00
2022/02/06 12:10,520,4,100.00
2022/02/06 12:15,520,4,100.00
2022/02/06 12:20,403,4,100.00
2022/02/06 12:25,390,4,100.00
2022/02/06 12:30,474,4,100.00
2022/02/06 12:35,540,4,100.00
2022/02/06 12:40,505,4,100.00
2022/02/06 12:45,460,4,100.00
2022/02/06 12:50,460,4,100.00
2022/02/06 12:55,508,4,100.00
2022/02/06 13:00,620,4,100.00
2022/02/06 13:05,620,4,100.00
2022/02/06 13:10,620,4,100.00
2022/02/06 13:15,613,4,100.00
2022/02/06 13:20,550,4,100.00
2022/02/06 13:25,563,4,100.00
2022/02/06 13:30,590,4,100.00
2022/02/06 13:35,590,4,100.00
2022/02/06 13:40,537,4,100.00
2022/02/06 13:45,470,4,100.00
2022/02/06 13:50,470,4,100.00
2022/02/06 13:55,476,4,100.00
2022/02/06 14:00,480,4,100.00
2022/02/06 14:05,480,4,100.00
2022/02/06 14:10,454,4,100.00
2022/02/06 14:15,440,4,100.00
2022/02/06 14:20,448,4,100.00
2022/02/06 14:25,480,4,100.00
2022/02/06 14:30,480,4,100.00
2022/02/06 14:35,542,4,100.00
2022/02/06 14:40,560,4,100.00
2022/02/06 14:45,560,4,100.00
2022/02/06 14:50,540,4,100.00
2022/02/06 14:55,540,4,100.00
2022/02/06 15:00,538,4,100.00
2022/02/06 15:05,520,4,100.00
2022/02/06 15:10,520,4,100.00
2022/02/06 15:15,525,4,100.00
2022/02/06 15:20,540,4,100.00
2022/02/06 15:25,529,4,100.00
2022/02/06 15:30,430,4,100.00
2022/02/06 15:35,430,4,100.00
2022/02/06 15:40,477,4,100.00
2022/02/06 15:45,500,4,100.00
2022/02/06 15:50,503,4,100.00
2022/02/06 15:55,500,4,100.00
2022/02/06 16:00,500,4,100.00
2022/02/06 16:05,483,4,100.00
2022/02/06 16:10,470,4,100.00
2022/02/06 16:15,470,4,100.00
2022/02/06 16:20,586,4,100.00
2022/02/06 16:25,600,4,100.00
2022/02/06 16:30,595,4,100.00
2022/02/06 16:35,520,4,100.00
2022/02/06 16:40,520,4,100.00
2022/02/06 16:45,522,4,100.00
2022/02/06 16:50,540,4,100.00
2022/02/06 16:55,540,4,100.00
2022/02/06 17:00,547,4,100.00
2022/02/06 17:05,580,4,100.00
2022/02/06 17:10,580,4,100.00
2022/02/06 17:15,579,4,100.00
2022/02/06 17:20,530,4,100.00
2022/02/06 17:25,530,4,100.00
2022/02/06 17:30,500,4,100.00
2022/02/06 17:35,390,4,100.00
2022/02/06 17:40,390,4,100.00
2022/02/06 17:45,522,4,100.00
2022/02/06 17:50,560,4,100.00
2022/02/06 17:55,560,4,100.00
2022/02/06 18:00,560,4,100.00
2022/02/06 18:05,560,4,100.00
2022/02/06 18:10,560,4,100.00
2022/02/06 18:15,560,4,100.00
2022/02/06 18:20,560,4,100.00
2022/02/06 18:25,560,4,100.00
2022/02/06 18:30,560,4,100.00
2022/02/06 18:35,560,4,100.00
2022/02/06 18:40,560,4,100.00
2022/02/06 18:45,560,4,100.00
2022/02/06 18:50,578,4,100.00
2022/02/06 18:55,580,4,100.00
2022/02/06 19:00,580,4,100.00
2022/02/06 19:05,580,4,100.00
2022/02/06 19:10,580,4,100.00
2022/02/06 19:15,580,4,100.00
2022/02/06 19:20,580,4,100.00
2022/02/06 19:25,580,4,100.00
2022/02/06 19:30,580,4,100.00
2022/02/06 19:35,580,4,100.00
2022/02/06 19:40,580,4,100.00
2022/02/06 19:45,580,4,100.00
2022/02/06 19:50,580,4,100.00
2022/02/06 19:55,580,4,100.00
2022/02/06 20:00,580,4,100.00
2022/02/06 20:05,580,4,100.00
2022/02/06 20:10,580,4,100.00
2022/02/06 20:15,580,4,100.00
2022/02/06 20:20,580,4,100.00
2022/02/06 20:25,580,4,100.00
2022/02/06 20:30,580,4,100.00
2022/02/06 20:35,580,4,100.00
2022/02/06 20:40,580,4,100.00
2022/02/06 20:45,580,4,100.00
2022/02/06 20:50,580,4,100.00
2022/02/06 20:55,580,4,100.00
2022/02/06 21:00,580,4,100.00
2022/02/06 21:05,580,4,100.00
2022/02/06 21:10,580,4,100.00
2022/02/06 21:15,580,4,100.00
2022/02/06 21:20,580,4,100.00
2022/02/06 21:25,580,4,100.00
2022/02/06 21:30,580,4,100.00
2022/02/06 21:35,580,4,100.00
2022/02/06 21:40,580,4,100.00
2022/02/06 21:45,580,4,100.00
2022/02/06 21:50,580,4,100.00
2022/02/06 21:55,580,4,100.00
2022/02/06 22:00,580,4,100.00
2022/02/06 22:05,580,4,100.00
2022/02/06 22:10,580,4,100.00
2022/02/06 22:15,580,4,100.00
2022/02/06 22:20,580,4,100.00
2022/02/06 22:25,580,4,100.00
2022/02/06 22:30,580,4,100.00
2022/02/06 22:35,580,4,100.00
2022/02/06 22:40,580,4,100.00
2022/02/06 22:45,580,4,100.00
2022/02/06 22:50,580,4,100.00
2022/02/06 22:55,580,4,100.00
2022/02/06 23:00,580,4,100.00
2022/02/06 23:05,580,4,100.00
2022/02/06 23:10,580,4,100.00
2022/02/06 23:15,580,4,100.00
2022/02/06 23:20,580,4,100.00
2022/02/06 23:25,580,4,100.00
2022/02/06 23:30,580,4,100.00
2022/02/06 23:35,580,4,100.00
2022/02/06 23:40,580,4,100.00
2022/02/06 23:45,580,4,100.00
2022/02/06 23:50,580,4,100.00
2022/02/06 23:55,580,4,100.00
2022/03/06 00:00,190,4,0.00
2022/03/06 00:05,184,4,0.00
2022/03/06 00:10,196,4,0.00
2022/03/06 00:15,175,4,0.00
2022/03/06 00:20,175,4,0.00
2022/03/06 00:25,153,4,0.00
2022/03/06 00:30,159,4,0.00
2022/03/06 00:35,183,4,0.00
2022/03/06 00:40,131,4,0.00
2022/03/06 00:45,147,4,0.00
2022/03/06 00:50,154,4,0.00
2022/03/06 00:55,119,4,0.00
2022/03/06 01:00,124,4,0.00
2022/03/06 01:05,125,4,0.00
2022/03/06 01:10,126,4,0.00
2022/03/06 01:15,97,4,0.00
2022/03/06 01:20,103,4,0.00
2022/03/06 01:25,101,4,0.00
2022/03/06 01:30,104,4,0.00
2022/03/06 01:35,91,4,0.00
2022/03/06 01:40,97,4,0.00
2022/03/06 01:45,97,4,0.00
2022/03/06 01:50,87,4,0.00
2022/03/06 01:55,81,4,0.00
2022/03/06 02:00,89,4,0.00
2022/03/06 02:05,98,4,0.00
2022/03/06 02:10,94,4,0.00
2022/03/06 02:15,89,4,0.00
2022/03/06 02:20,100,4,0.00
2022/03/06 02:25,109,4,0.00
2022/03/06 02:30,91,4,0.00
2022/03/06 02:35,81,4,0.00
2022/03/06 02:40,72,4,0.00
2022/03/06 02:45,75,4,0.00
2022/03/06 02:50,94,4,0.00
2022/03/06 02:55,84,4,0.00
2022/03/06 03:00,81,4,0.00
2022/03/06 03:05,77,4,0.00
2022/03/06 03:10,81,4,0.00
2022/03/06 03:15,82,4,0.00
2022/03/06 03:20,75,4,0.00
2022/03/06 03:25,76,4,0.00
2022/03/06 03:30,87,4,0.00
2022/03/06 03:35,113,4,0.00
2022/03/06 03:40,109,4,0.00
2022/03/06 03:45,98,4,0.00
2022/03/06 03:50,97,4,0.00
2022/03/06 03:55,105,4,0.00
2022/03/06 04:00,98,4,0.00
2022/03/06 04:05,95,4,0.00
2022/03/06 04:10,108,4,0.00
2022/03/06 04:15,113,4,0.00
2022/03/06 04:20,110,4,0.00
2022/03/06 04:25,141,4,0.00
2022/03/06 04:30,125,4,0.00
2022/03/06 04:35,143,4,0.00
2022/03/06 04:40,134,4,0.00
2022/03/06 04:45,139,4,0.00
2022/03/06 04:50,168,4,0.00
2022/03/06 04:55,171,4,0.00
2022/03/06 05:00,186,4,0.00
2022/03/06 05:05,162,4,0.00
2022/03/06 05:10,165,4,0.00
2022/03/06 05:15,177,4,0.00
2022/03/06 05:20,245,4,0.00
2022/03/06 05:25,233,4,0.00
2022/03/06 05:30,247,4,0.00
2022/03/06 05:35,273,4,0.00
2022/03/06 05:40,305,4,0.00
2022/03/06 05:45,297,4,0.00
2022/03/06 05:50,284,4,0.00
2022/03/06 05:55,294,4,0.00
2022/03/06 06:00,278,4,0.00
2022/03/06 06:05,315,4,0.00
2022/03/06 06:10,330,4,0.00
2022/03/06 06:15,341,4,0.00
2022/03/06 06:20,377,4,0.00
2022/03/06 06:25,403,4,0.00
2022/03/06 06:30,423,4,0.00
2022/03/06 06:35,449,4,0.00
2022/03/06 06:40,422,4,0.00
2022/03/06 06:45,449,4,0.00
2022/03/06 06:50,446,4,0.00
2022/03/06 06:55,413,4,0.00
2022/03/06 07:00,418,4,0.00
2022/03/06 07:05,414,4,0.00
2022/03/06 07:10,454,4,0.00
2022/03/06 07:15,499,4,0.00
2022/03/06 07:20,512,4,0.00
2022/03/06 07:25,538,4,0.00
2022/03/06 07:30,485,4,0.00
2022/03/06 07:35,510,4,0.00
2022/03/06 07:40,515,4,0.00
2022/03/06 07:45,565,4,0.00
2022/03/06 07:50,554,4,0.00
2022/03/06 07:55,550,4,0.00
2022/03/06 08:00,516,4,0.00
2022/03/06 08:05,522,4,0.00
2022/03/06 08:10,518,4,0.00
2022/03/06 08:15,532,4,0.00
2022/03/06 08:20,536,4,0.00
2022/03/06 08:25,506,4,0.00
2022/03/06 08:30,534,4,0.00
2022/03/06 08:35,527,4,0.00
2022/03/06 08:40,490,4,0.00
2022/03/06 08:45,505,4,0.00
2022/03/06 08:50,499,4,0.00
2022/03/06 08:55,510,4,0.00
2022/03/06 09:00,481,4,0.00
2022/03/06 09:05,535,4,0.00
2022/03/06 09:10,490,4,0.00
2022/03/06 09:15,534,4,0.00
2022/03/06 09:20,506,4,0.00
2022/03/06 09:25,525,4,0.00
2022/03/06 09:30,533,4,0.00
2022/03/06 09:35,509,4,0.00
2022/03/06 09:40,538,4,0.00
2022/03/06 09:45,560,4,0.00
2022/03/06 09:50,555,4,0.00
2022/03/06 09:55,572,4,0.00
2022/03/06 10:00,481,4,0.00
2022/03/06 10:05,523,4,0.00
2022/03/06 10:10,543,4,0.00
2022/03/06 10:15,509,4,0.00
2022/03/06 10:20,477,4,0.00
2022/03/06 10:25,528,4,0.00
2022/03/06 10:30,537,4,0.00
2022/03/06 10:35,506,4,0.00
2022/03/06 10:40,508,4,0.00
2022/03/06 10:45,493,4,0.00
2022/03/06 10:50,476,4,0.00
2022/03/06 10:55,486,4,0.00
2022/03/06 11:00,492,4,0.00
2022/03/06 11:05,480,4,0.00
2022/03/06 11:10,499,4,0.00
2022/03/06 11:15,489,4,0.00
2022/03/06 11:20,489,4,0.00
2022/03/06 11:25,496,4,0.00
2022/03/06 11:30,519,4,0.00
2022/03/06 11:35,490,4,0.00
2022/03/06 11:40,522,4,0.00
2022/03/06 11:45,502,4,0.00
2022/03/06 11:50,494,4,0.00
2022/03/06 11:55,515,4,0.00
2022/03/06 12:00,493,4,0.00
2022/03/06 12:05,513,4,0.00
2022/03/06 12:10,531,4,0.00
2022/03/06 12:15,541,4,0.00
2022/03/06 12:20,551,4,0.00
2022/03/06 12:25,514,4,0.00
2022/03/06 12:30,533,4,0.00
2022/03/06 12:35,530,4,0.00
2022/03/06 12:40,511,4,0.00
2022/03/06 12:45,554,4,0.00
2022/03/06 12:50,480,4,0.00
2022/03/06 12:55,453,4,0.00
2022/03/06 13:00,544,4,0.00
